baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_id,name,biotype,description,rank,is_interesting,patient_1,patient_2,patient_3,patient_6,patient_7,patient_8
490.7441907,-3.534852114,0.449887465,-7.857191835,3.93E-15,1.03E-12,ENSG00000087116,ADAMTS2,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218],72,no,-1.862040254,-3.774373997,-3.397878239,-5.215229912,-4.131854905,-2.871559275
276.0453901,-3.525384341,0.541472019,-6.510741499,7.48E-11,8.29E-09,ENSG00000186642,PDE2A,protein_coding,phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777],73,no,-1.005534504,-3.843492775,-2.917179126,-6.036474091,-3.710878274,-3.705646919
217.9066864,-3.500670161,0.722447207,-4.845572285,1.26E-06,3.55E-05,ENSG00000071205,ARHGAP10,protein_coding,Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099],74,no,-2.316501713,-3.462517112,-9.614701597,-1.132423048,-5.469847164,-2.117367114
269.2471188,-3.498886172,0.598550676,-5.845597228,5.05E-09,3.31E-07,ENSG00000092607,TBX15,protein_coding,T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594],75,no,-1.721375136,-4.816154067,-6.503992638,-2.552493838,-1.636954054,-4.506670241
9037.11615,-3.491623525,0.779753591,-4.477855013,7.54E-06,0.000165777,ENSG00000248144,ADH1C,protein_coding,"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]",76,no,-1.992869458,0.877772922,-4.484116066,-2.617752058,-4.603817321,-10.44645105
2634.543395,-3.489465591,0.661183807,-5.277602918,1.31E-07,5.24E-06,ENSG00000187479,C11orf96,protein_coding,chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:38675],77,no,-0.091597484,-4.115568603,-1.916291769,-7.914445748,-4.408635571,-3.175647543
235.726931,-3.488514452,0.739946757,-4.714547931,2.42E-06,6.31E-05,ENSG00000019991,HGF,protein_coding,hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893],78,no,-1.060615029,-5.889527253,1.773618183,-4.990487886,-5.057399783,-3.594801151
118.7858657,-3.487532532,0.563961047,-6.183995424,6.25E-10,5.36E-08,ENSG00000101825,MXRA5,protein_coding,matrix remodeling associated 5 [Source:HGNC Symbol;Acc:HGNC:7539],79,no,-1.805626181,-5.613076789,-2.071992131,-4.605056849,-4.265488666,-2.92737649
2351.201273,-3.478421602,0.518643536,-6.706767479,1.99E-11,2.45E-09,ENSG00000168542,COL3A1,protein_coding,collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201],80,no,-0.921456649,-4.445194665,-3.803924087,-5.541292804,-3.704409631,-2.221531183
467.8644702,-3.449619549,0.461288813,-7.478220691,7.53E-14,1.46E-11,ENSG00000151468,CCDC3,protein_coding,coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23813],81,no,-1.840416467,-3.56522416,-4.063070435,-4.919695683,-2.2132096,-4.109926974
